index,sequence_y,sequence_t,window_start_t,seq_len,seq_start_time,seq_end_time,seq_midpoint_time
0,"[0.5775240635026435, 0.48502020917538147, 0.4225176049002073, 0.3750156256510664, 0.3400141672569674, 0.2700112504687695, 0.2525105212717236, 0.2325096879036579, 0.21250885453560642, 0.19750822950956604, 0.1850077086545241, 0.13000541689237366, 0.04000166673611005]","[34.96145672736364, 35.53898079086628, 36.024001000041665, 36.44651860494187, 36.82153423059294, 37.161548397849906, 37.74657277386557, 37.9990832951373, 38.231592983040954, 38.44410183757656, 38.64161006708613, 38.82661777574065, 38.956623192633025]",0,13,34.96145672736364,38.956623192633025,36.959039959998336
1,"[0.1375057294053903, 0.127505312721361, 0.12000500020834437, 0.11250468769532063, 0.10250427101129134, 0.09750406266928024, 0.0900037501562565, 0.0850035418142383, 0.07500312513021612, 0.07000291678819792, 0.06500270844618683, 0.06000250010416863, 0.057502395933163086, 0.05000208342014645, 0.05000208342013934]","[39.304137672403016, 39.441643401808406, 39.56914871452977, 39.68915371473811, 39.80165840243343, 39.90416267344472, 40.001666736114004, 40.09167048627026, 40.1766740280845, 40.251677153214715, 40.32168007000291, 40.3866827784491, 40.44668527855327, 40.50418767448643, 40.55418975790658]",0,15,39.304137672403016,40.55418975790658,39.9291637151548
2,"[0.6275261469227886, 0.5325221884245175, 0.4700195841493393, 0.4200175007291973, 0.37751572982207593, 0.3400141672569692, 0.30501270886286935, 0.2800116671527979, 0.2575107296137338, 0.23250968790366233, 0.21500895870661285, 0.19750822950956248, 0.18250760448352032, 0.1700070836284846, 0.1600066669444562, 0.14500604191841315, 0.13500562523438475, 0.12750531272136367, 0.11750489603733438, 0.1100045835243133, 0.10250427101129223, 0.09500395849827115, 0.0900037501562565, 0.08250343764323542, 0.08000333347222721, 0.0700029167881997, 0.06750281261719238, 0.057502395933163974, 0.050002083420142895, 0.04500187507812825]","[61.53506396099837, 62.16259010792116, 62.695112296345684, 63.16513188049502, 63.58514938122422, 63.96266511104629, 64.30267927830326, 64.60769198716613, 64.88770365431893, 65.14521438393267, 65.37772407183633, 65.59273303054295, 65.7902412600525, 65.97274886453602, 66.1427559481645, 66.30276261510896, 66.44776865702738, 66.58277428226177, 66.71027959498312, 66.82778449102045, 66.93778907454477, 67.04029334555607, 67.13529730405433, 67.22530105421059, 67.30780449185383, 67.38780782532605, 67.45781074211425, 67.52531355473144, 67.58281595066461, 67.63281803408475]",60,30,61.53506396099837,67.63281803408475,64.58394099754156
