file,datetime_utc,datetime_edt,date,time,recorder_name,audio_seconds,n_detections,results_path
./data/recorder001/20220415_103000.WAV,2022-04-15 10:30:00+00:00,2022-04-15 06:30:00-04:00,2022-04-15,06:30:00,recorder001,120,3.0,./results/recorder001_20220415_103000_rugr_detections.csv
./data/recorder001/20220416_103000.WAV,2022-04-16 10:30:00+00:00,2022-04-16 06:30:00-04:00,2022-04-16,06:30:00,recorder001,120,2.0,./results/recorder001_20220416_103000_rugr_detections.csv
